Address;HouseId;YearBuilt;Zip;Area
Lyngmosevej 175;135;2104;2734;229
Lyngmosevej 176;136;2105;2735;230
Lyngmosevej 177;137;2106;2736;231
Lyngmosevej 178;138;2107;2737;232
Lyngmosevej 179;139;2108;2738;233
Lyngmosevej 180;140;2109;2739;234
Lyngmosevej 181;141;2110;2740;235
Lyngmosevej 182;142;2111;2741;236
Lyngmosevej 183;143;2112;2742;237
Lyngmosevej 184;144;2113;2743;238
Lyngmosevej 185;145;2114;2744;239
Lyngmosevej 186;146;2115;2745;240
Lyngmosevej 187;147;2116;2746;241
Lyngmosevej 188;148;2117;2747;242
Lyngmosevej 189;149;2118;2748;243
Lyngmosevej 190;150;2119;2749;244
Lyngmosevej 191;151;2120;2750;245
Lyngmosevej 192;152;2121;2751;246
Lyngmosevej 193;153;2122;2752;247
Lyngmosevej 194;154;2123;2753;248
Lyngmosevej 195;155;2124;2754;249
Lyngmosevej 196;156;2125;2755;250
Lyngmosevej 197;157;2126;2756;251
Lyngmosevej 198;158;2127;2757;252
Lyngmosevej 199;159;2128;2758;253
Lyngmosevej 200;160;2129;2759;254
Lyngmosevej 201;161;2130;2760;255
Lyngmosevej 202;162;2131;2761;256
Lyngmosevej 203;163;2132;2762;257
Lyngmosevej 204;164;2133;2763;258
Lyngmosevej 205;165;2134;2764;259
Lyngmosevej 206;166;2135;2765;260
Lyngmosevej 207;167;2136;2766;261
Lyngmosevej 208;168;2137;2767;262
Lyngmosevej 209;169;2138;2768;263
Lyngmosevej 210;170;2139;2769;264
Lyngmosevej 211;171;2140;2770;265
Lyngmosevej 212;172;2141;2771;266
Lyngmosevej 213;173;2142;2772;267
Lyngmosevej 214;174;2143;2773;268
Lyngmosevej 215;175;2144;2774;269
Lyngmosevej 216;176;2145;2775;270
Lyngmosevej 217;177;2146;2776;271
Lyngmosevej 218;178;2147;2777;272
Lyngmosevej 219;179;2148;2778;273
Lyngmosevej 220;180;2149;2779;274
Lyngmosevej 221;181;2150;2780;275
Lyngmosevej 222;182;2151;2781;276
Lyngmosevej 223;183;2152;2782;277
Lyngmosevej 224;184;2153;2783;278
Lyngmosevej 225;185;2154;2784;279
Lyngmosevej 226;186;2155;2785;280
Lyngmosevej 227;187;2156;2786;281
Lyngmosevej 228;188;2157;2787;282
Lyngmosevej 229;189;2158;2788;283
Lyngmosevej 230;190;2159;2789;284
Lyngmosevej 231;191;2160;2790;285
Lyngmosevej 232;192;2161;2791;286
Lyngmosevej 233;193;2162;2792;287
Lyngmosevej 234;194;2163;2793;288
Lyngmosevej 235;195;2164;2794;289
Lyngmosevej 236;196;2165;2795;290
Lyngmosevej 237;197;2166;2796;291
Lyngmosevej 238;198;2167;2797;292
Lyngmosevej 239;199;2168;2798;293
Lyngmosevej 240;200;2169;2799;294
Lyngmosevej 241;201;2170;2800;295
Lyngmosevej 242;202;2171;2801;296
Lyngmosevej 243;203;2172;2802;297
Lyngmosevej 244;204;2173;2803;298
Lyngmosevej 245;205;2174;2804;299
Lyngmosevej 246;206;2175;2805;300
Lyngmosevej 247;207;2176;2806;301
Lyngmosevej 248;208;2177;2807;302
Lyngmosevej 249;209;2178;2808;303
Lyngmosevej 250;210;2179;2809;304
Lyngmosevej 251;211;2180;2810;305
Lyngmosevej 252;212;2181;2811;306
Lyngmosevej 253;213;2182;2812;307
Lyngmosevej 254;214;2183;2813;308
Lyngmosevej 255;215;2184;2814;309
Lyngmosevej 256;216;2185;2815;310
Lyngmosevej 257;217;2186;2816;311
Lyngmosevej 258;218;2187;2817;312
Lyngmosevej 259;219;2188;2818;313
Lyngmosevej 260;220;2189;2819;314
Lyngmosevej 261;221;2190;2820;315
Lyngmosevej 262;222;2191;2821;316
Lyngmosevej 263;223;2192;2822;317
Lyngmosevej 264;224;2193;2823;318
Lyngmosevej 265;225;2194;2824;319
Lyngmosevej 266;226;2195;2825;320
Lyngmosevej 267;227;2196;2826;321
Lyngmosevej 268;228;2197;2827;322
Lyngmosevej 269;229;2198;2828;323
Lyngmosevej 270;230;2199;2829;324
Lyngmosevej 271;231;2200;2830;325
Lyngmosevej 272;232;2201;2831;326
Lyngmosevej 273;233;2202;2832;327
Lyngmosevej 274;234;2203;2833;328
Lyngmosevej 275;235;2204;2834;329
Lyngmosevej 276;236;2205;2835;330
Lyngmosevej 277;237;2206;2836;331
Lyngmosevej 278;238;2207;2837;332
Lyngmosevej 279;239;2208;2838;333
Lyngmosevej 280;240;2209;2839;334
Lyngmosevej 281;241;2210;2840;335
Lyngmosevej 282;242;2211;2841;336
Lyngmosevej 283;243;2212;2842;337
Lyngmosevej 284;244;2213;2843;338
Lyngmosevej 285;245;2214;2844;339
Lyngmosevej 286;246;2215;2845;340
Lyngmosevej 287;247;2216;2846;341
Lyngmosevej 288;248;2217;2847;342
Lyngmosevej 289;249;2218;2848;343
Lyngmosevej 290;250;2219;2849;344
Lyngmosevej 291;251;2220;2850;345
Lyngmosevej 292;252;2221;2851;346
Lyngmosevej 293;253;2222;2852;347
Lyngmosevej 294;254;2223;2853;348
Lyngmosevej 295;255;2224;2854;349
Lyngmosevej 296;256;2225;2855;350
Lyngmosevej 297;257;2226;2856;351
Lyngmosevej 298;258;2227;2857;352
Lyngmosevej 299;259;2228;2858;353
Lyngmosevej 300;260;2229;2859;354
Lyngmosevej 301;261;2230;2860;355
Lyngmosevej 302;262;2231;2861;356
Lyngmosevej 303;263;2232;2862;357
Lyngmosevej 304;264;2233;2863;358
Lyngmosevej 305;265;2234;2864;359
Lyngmosevej 306;266;2235;2865;360
Lyngmosevej 307;267;2236;2866;361
Lyngmosevej 308;268;2237;2867;362
Lyngmosevej 309;269;2238;2868;363
Lyngmosevej 310;270;2239;2869;364
Lyngmosevej 311;271;2240;2870;365
Lyngmosevej 312;272;2241;2871;366
Lyngmosevej 313;273;2242;2872;367
Lyngmosevej 314;274;2243;2873;368
Lyngmosevej 315;275;2244;2874;369
Lyngmosevej 316;276;2245;2875;370
Lyngmosevej 317;277;2246;2876;371
Lyngmosevej 318;278;2247;2877;372
Lyngmosevej 319;279;2248;2878;373
Lyngmosevej 320;280;2249;2879;374
Lyngmosevej 321;281;2250;2880;375
Lyngmosevej 322;282;2251;2881;376
Lyngmosevej 323;283;2252;2882;377
Lyngmosevej 324;284;2253;2883;378
Lyngmosevej 325;285;2254;2884;379
Lyngmosevej 326;286;2255;2885;380
Lyngmosevej 327;287;2256;2886;381
Lyngmosevej 328;288;2257;2887;382
Lyngmosevej 329;289;2258;2888;383
Lyngmosevej 330;290;2259;2889;384
Lyngmosevej 331;291;2260;2890;385
Lyngmosevej 332;292;2261;2891;386
Lyngmosevej 333;293;2262;2892;387
Lyngmosevej 334;294;2263;2893;388
Lyngmosevej 335;295;2264;2894;389
Lyngmosevej 336;296;2265;2895;390
Lyngmosevej 337;297;2266;2896;391
Lyngmosevej 338;298;2267;2897;392
Lyngmosevej 339;299;2268;2898;393
Lyngmosevej 340;300;2269;2899;394
Lyngmosevej 341;301;2270;2900;395
Lyngmosevej 342;302;2271;2901;396
Lyngmosevej 343;303;2272;2902;397
Lyngmosevej 344;304;2273;2903;398
Lyngmosevej 345;305;2274;2904;399
Lyngmosevej 346;306;2275;2905;400
Lyngmosevej 347;307;2276;2906;401
Lyngmosevej 348;308;2277;2907;402
Lyngmosevej 349;309;2278;2908;403
Lyngmosevej 350;310;2279;2909;404
Lyngmosevej 351;311;2280;2910;405
Lyngmosevej 352;312;2281;2911;406
Lyngmosevej 353;313;2282;2912;407
Lyngmosevej 354;314;2283;2913;408
Lyngmosevej 355;315;2284;2914;409
Lyngmosevej 356;316;2285;2915;410
Lyngmosevej 357;317;2286;2916;411
Lyngmosevej 358;318;2287;2917;412
Lyngmosevej 359;319;2288;2918;413
Lyngmosevej 360;320;2289;2919;414
Lyngmosevej 361;321;2290;2920;415
Lyngmosevej 362;322;2291;2921;416
Lyngmosevej 363;323;2292;2922;417
Lyngmosevej 364;324;2293;2923;418
Lyngmosevej 365;325;2294;2924;419
Lyngmosevej 366;326;2295;2925;420
Lyngmosevej 367;327;2296;2926;421
Lyngmosevej 368;328;2297;2927;422
Lyngmosevej 369;329;2298;2928;423
Lyngmosevej 370;330;2299;2929;424
Lyngmosevej 371;331;2300;2930;425
Lyngmosevej 372;332;2301;2931;426
Lyngmosevej 373;333;2302;2932;427
Lyngmosevej 374;334;2303;2933;428
Lyngmosevej 375;335;2304;2934;429
Lyngmosevej 376;336;2305;2935;430
Lyngmosevej 377;337;2306;2936;431
Lyngmosevej 378;338;2307;2937;432
Lyngmosevej 379;339;2308;2938;433
Lyngmosevej 380;340;2309;2939;434
Lyngmosevej 381;341;2310;2940;435
Lyngmosevej 382;342;2311;2941;436
Lyngmosevej 383;343;2312;2942;437
Lyngmosevej 384;344;2313;2943;438
Lyngmosevej 385;345;2314;2944;439
Lyngmosevej 386;346;2315;2945;440
Lyngmosevej 387;347;2316;2946;441
Lyngmosevej 388;348;2317;2947;442
Lyngmosevej 389;349;2318;2948;443
Lyngmosevej 390;350;2319;2949;444
Lyngmosevej 391;351;2320;2950;445
Lyngmosevej 392;352;2321;2951;446
Lyngmosevej 393;353;2322;2952;447
Lyngmosevej 394;354;2323;2953;448
Lyngmosevej 395;355;2324;2954;449
Lyngmosevej 396;356;2325;2955;450
Lyngmosevej 397;357;2326;2956;451
Lyngmosevej 398;358;2327;2957;452
Lyngmosevej 399;359;2328;2958;453
Lyngmosevej 400;360;2329;2959;454
Lyngmosevej 401;361;2330;2960;455
Lyngmosevej 402;362;2331;2961;456
Lyngmosevej 403;363;2332;2962;457
Lyngmosevej 404;364;2333;2963;458
Lyngmosevej 405;365;2334;2964;459
Lyngmosevej 406;366;2335;2965;460
Lyngmosevej 407;367;2336;2966;461
Lyngmosevej 408;368;2337;2967;462
Lyngmosevej 409;369;2338;2968;463
Lyngmosevej 410;370;2339;2969;464
Lyngmosevej 411;371;2340;2970;465
Lyngmosevej 412;372;2341;2971;466
Lyngmosevej 413;373;2342;2972;467
Lyngmosevej 414;374;2343;2973;468
Lyngmosevej 415;375;2344;2974;469
Lyngmosevej 416;376;2345;2975;470
Lyngmosevej 417;377;2346;2976;471
Lyngmosevej 418;378;2347;2977;472
Lyngmosevej 419;379;2348;2978;473
Lyngmosevej 420;380;2349;2979;474
Lyngmosevej 421;381;2350;2980;475
Lyngmosevej 422;382;2351;2981;476
Lyngmosevej 423;383;2352;2982;477
Lyngmosevej 424;384;2353;2983;478
Lyngmosevej 425;385;2354;2984;479
Lyngmosevej 426;386;2355;2985;480
Lyngmosevej 427;387;2356;2986;481
Lyngmosevej 428;388;2357;2987;482
Lyngmosevej 429;389;2358;2988;483
Lyngmosevej 430;390;2359;2989;484
Lyngmosevej 431;391;2360;2990;485
Lyngmosevej 432;392;2361;2991;486
Lyngmosevej 433;393;2362;2992;487
Lyngmosevej 434;394;2363;2993;488
Lyngmosevej 435;395;2364;2994;489
Lyngmosevej 436;396;2365;2995;490
Lyngmosevej 437;397;2366;2996;491
Lyngmosevej 438;398;2367;2997;492
Lyngmosevej 439;399;2368;2998;493
Lyngmosevej 440;400;2369;2999;494
Lyngmosevej 441;401;2370;3000;495
Lyngmosevej 442;402;2371;3001;496
Lyngmosevej 443;403;2372;3002;497
Lyngmosevej 444;404;2373;3003;498
Lyngmosevej 445;405;2374;3004;499
Lyngmosevej 446;406;2375;3005;500
Lyngmosevej 447;407;2376;3006;501
Lyngmosevej 448;408;2377;3007;502
Lyngmosevej 449;409;2378;3008;503
Lyngmosevej 450;410;2379;3009;504
Lyngmosevej 451;411;2380;3010;505
Lyngmosevej 452;412;2381;3011;506
Lyngmosevej 453;413;2382;3012;507
Lyngmosevej 454;414;2383;3013;508
Lyngmosevej 455;415;2384;3014;509
Lyngmosevej 456;416;2385;3015;510
Lyngmosevej 457;417;2386;3016;511
Lyngmosevej 458;418;2387;3017;512
Lyngmosevej 459;419;2388;3018;513
Lyngmosevej 460;420;2389;3019;514
Lyngmosevej 461;421;2390;3020;515
Lyngmosevej 462;422;2391;3021;516
Lyngmosevej 463;423;2392;3022;517
Lyngmosevej 464;424;2393;3023;518
Lyngmosevej 465;425;2394;3024;519
Lyngmosevej 466;426;2395;3025;520
Lyngmosevej 467;427;2396;3026;521
Lyngmosevej 468;428;2397;3027;522
Lyngmosevej 469;429;2398;3028;523
Lyngmosevej 470;430;2399;3029;524
Lyngmosevej 471;431;2400;3030;525
Lyngmosevej 472;432;2401;3031;526
Lyngmosevej 473;433;2402;3032;527
Lyngmosevej 474;434;2403;3033;528
Lyngmosevej 475;435;2404;3034;529
Lyngmosevej 476;436;2405;3035;530
Lyngmosevej 477;437;2406;3036;531
Lyngmosevej 478;438;2407;3037;532
Lyngmosevej 479;439;2408;3038;533
Lyngmosevej 480;440;2409;3039;534
Lyngmosevej 481;441;2410;3040;535
Lyngmosevej 482;442;2411;3041;536
Lyngmosevej 483;443;2412;3042;537
Lyngmosevej 484;444;2413;3043;538
Lyngmosevej 485;445;2414;3044;539
Lyngmosevej 486;446;2415;3045;540
Lyngmosevej 487;447;2416;3046;541
Lyngmosevej 488;448;2417;3047;542
Lyngmosevej 489;449;2418;3048;543
Lyngmosevej 490;450;2419;3049;544
Lyngmosevej 491;451;2420;3050;545
Lyngmosevej 492;452;2421;3051;546
Lyngmosevej 493;453;2422;3052;547
Lyngmosevej 494;454;2423;3053;548
Lyngmosevej 495;455;2424;3054;549
Lyngmosevej 496;456;2425;3055;550
Lyngmosevej 497;457;2426;3056;551
Lyngmosevej 498;458;2427;3057;552
Lyngmosevej 499;459;2428;3058;553
Lyngmosevej 500;460;2429;3059;554
Lyngmosevej 501;461;2430;3060;555
Lyngmosevej 502;462;2431;3061;556
Lyngmosevej 503;463;2432;3062;557
Lyngmosevej 504;464;2433;3063;558
Lyngmosevej 505;465;2434;3064;559
Lyngmosevej 506;466;2435;3065;560
Lyngmosevej 507;467;2436;3066;561
Lyngmosevej 508;468;2437;3067;562
Lyngmosevej 509;469;2438;3068;563
Lyngmosevej 510;470;2439;3069;564
Lyngmosevej 511;471;2440;3070;565
Lyngmosevej 512;472;2441;3071;566
Lyngmosevej 513;473;2442;3072;567
Lyngmosevej 514;474;2443;3073;568
Lyngmosevej 515;475;2444;3074;569
Lyngmosevej 516;476;2445;3075;570
Lyngmosevej 517;477;2446;3076;571
Lyngmosevej 518;478;2447;3077;572
Lyngmosevej 519;479;2448;3078;573
Lyngmosevej 520;480;2449;3079;574
Lyngmosevej 521;481;2450;3080;575
Lyngmosevej 522;482;2451;3081;576
Lyngmosevej 523;483;2452;3082;577
Lyngmosevej 524;484;2453;3083;578
Lyngmosevej 525;485;2454;3084;579
Lyngmosevej 526;486;2455;3085;580
Lyngmosevej 527;487;2456;3086;581
Lyngmosevej 528;488;2457;3087;582
Lyngmosevej 529;489;2458;3088;583
Lyngmosevej 530;490;2459;3089;584
Lyngmosevej 531;491;2460;3090;585
Lyngmosevej 532;492;2461;3091;586
Lyngmosevej 533;493;2462;3092;587
Lyngmosevej 534;494;2463;3093;588
Lyngmosevej 535;495;2464;3094;589
Lyngmosevej 536;496;2465;3095;590
Lyngmosevej 537;497;2466;3096;591
Lyngmosevej 538;498;2467;3097;592
Lyngmosevej 539;499;2468;3098;593
Lyngmosevej 540;500;2469;3099;594
Lyngmosevej 541;501;2470;3100;595
Lyngmosevej 542;502;2471;3101;596
Lyngmosevej 543;503;2472;3102;597
Lyngmosevej 544;504;2473;3103;598
Lyngmosevej 545;505;2474;3104;599
Lyngmosevej 546;506;2475;3105;600
Lyngmosevej 547;507;2476;3106;601
Lyngmosevej 548;508;2477;3107;602
Lyngmosevej 549;509;2478;3108;603
Lyngmosevej 550;510;2479;3109;604
Lyngmosevej 551;511;2480;3110;605
Lyngmosevej 552;512;2481;3111;606
Lyngmosevej 553;513;2482;3112;607
Lyngmosevej 554;514;2483;3113;608
Lyngmosevej 555;515;2484;3114;609
Lyngmosevej 556;516;2485;3115;610
Lyngmosevej 557;517;2486;3116;611
Lyngmosevej 558;518;2487;3117;612
Lyngmosevej 559;519;2488;3118;613
Lyngmosevej 560;520;2489;3119;614
Lyngmosevej 561;521;2490;3120;615
Lyngmosevej 562;522;2491;3121;616
Lyngmosevej 563;523;2492;3122;617
Lyngmosevej 564;524;2493;3123;618
Lyngmosevej 565;525;2494;3124;619
Lyngmosevej 566;526;2495;3125;620
Lyngmosevej 567;527;2496;3126;621
Lyngmosevej 568;528;2497;3127;622
Lyngmosevej 569;529;2498;3128;623
Lyngmosevej 570;530;2499;3129;624
Lyngmosevej 571;531;2500;3130;625
Lyngmosevej 572;532;2501;3131;626
Lyngmosevej 573;533;2502;3132;627
Lyngmosevej 574;534;2503;3133;628
Lyngmosevej 575;535;2504;3134;629
Lyngmosevej 576;536;2505;3135;630
Lyngmosevej 577;537;2506;3136;631
Lyngmosevej 578;538;2507;3137;632
Lyngmosevej 579;539;2508;3138;633
Lyngmosevej 580;540;2509;3139;634
Lyngmosevej 581;541;2510;3140;635
Lyngmosevej 582;542;2511;3141;636
Lyngmosevej 583;543;2512;3142;637
Lyngmosevej 584;544;2513;3143;638
Lyngmosevej 585;545;2514;3144;639
Lyngmosevej 586;546;2515;3145;640
Lyngmosevej 587;547;2516;3146;641
Lyngmosevej 588;548;2517;3147;642
Lyngmosevej 589;549;2518;3148;643
Lyngmosevej 590;550;2519;3149;644
Lyngmosevej 591;551;2520;3150;645
Lyngmosevej 592;552;2521;3151;646
Lyngmosevej 593;553;2522;3152;647
Lyngmosevej 594;554;2523;3153;648
Lyngmosevej 595;555;2524;3154;649
Lyngmosevej 596;556;2525;3155;650
Lyngmosevej 597;557;2526;3156;651
Lyngmosevej 598;558;2527;3157;652
Lyngmosevej 599;559;2528;3158;653
Lyngmosevej 600;560;2529;3159;654
Lyngmosevej 601;561;2530;3160;655
Lyngmosevej 602;562;2531;3161;656
Lyngmosevej 603;563;2532;3162;657
Lyngmosevej 604;564;2533;3163;658
Lyngmosevej 605;565;2534;3164;659
Lyngmosevej 606;566;2535;3165;660
Lyngmosevej 607;567;2536;3166;661
Lyngmosevej 608;568;2537;3167;662
Lyngmosevej 609;569;2538;3168;663
Lyngmosevej 610;570;2539;3169;664
Lyngmosevej 611;571;2540;3170;665
Lyngmosevej 612;572;2541;3171;666
Lyngmosevej 613;573;2542;3172;667
Lyngmosevej 614;574;2543;3173;668
Lyngmosevej 615;575;2544;3174;669
Lyngmosevej 616;576;2545;3175;670
Lyngmosevej 617;577;2546;3176;671
Lyngmosevej 618;578;2547;3177;672
Lyngmosevej 619;579;2548;3178;673
Lyngmosevej 620;580;2549;3179;674
Lyngmosevej 621;581;2550;3180;675
Lyngmosevej 622;582;2551;3181;676
Lyngmosevej 623;583;2552;3182;677
Lyngmosevej 624;584;2553;3183;678
Lyngmosevej 625;585;2554;3184;679
Lyngmosevej 626;586;2555;3185;680
Lyngmosevej 627;587;2556;3186;681
Lyngmosevej 628;588;2557;3187;682
Lyngmosevej 629;589;2558;3188;683
Lyngmosevej 630;590;2559;3189;684
Lyngmosevej 631;591;2560;3190;685
Lyngmosevej 632;592;2561;3191;686
Lyngmosevej 633;593;2562;3192;687
Lyngmosevej 634;594;2563;3193;688
Lyngmosevej 635;595;2564;3194;689
Lyngmosevej 636;596;2565;3195;690
Lyngmosevej 637;597;2566;3196;691
Lyngmosevej 638;598;2567;3197;692
Lyngmosevej 639;599;2568;3198;693
Lyngmosevej 640;600;2569;3199;694
Lyngmosevej 641;601;2570;3200;695
Lyngmosevej 642;602;2571;3201;696
Lyngmosevej 643;603;2572;3202;697
Lyngmosevej 644;604;2573;3203;698
Lyngmosevej 645;605;2574;3204;699
Lyngmosevej 646;606;2575;3205;700
Lyngmosevej 647;607;2576;3206;701
Lyngmosevej 648;608;2577;3207;702
Lyngmosevej 649;609;2578;3208;703
Lyngmosevej 650;610;2579;3209;704
Lyngmosevej 651;611;2580;3210;705
Lyngmosevej 652;612;2581;3211;706
Lyngmosevej 653;613;2582;3212;707
Lyngmosevej 654;614;2583;3213;708
Lyngmosevej 655;615;2584;3214;709
Lyngmosevej 656;616;2585;3215;710
Lyngmosevej 657;617;2586;3216;711
Lyngmosevej 658;618;2587;3217;712
Lyngmosevej 659;619;2588;3218;713
Lyngmosevej 660;620;2589;3219;714
Lyngmosevej 661;621;2590;3220;715
Lyngmosevej 662;622;2591;3221;716
Lyngmosevej 663;623;2592;3222;717
Lyngmosevej 664;624;2593;3223;718
Lyngmosevej 665;625;2594;3224;719
Lyngmosevej 666;626;2595;3225;720
Lyngmosevej 667;627;2596;3226;721
Lyngmosevej 668;628;2597;3227;722
Lyngmosevej 669;629;2598;3228;723
Lyngmosevej 670;630;2599;3229;724
Lyngmosevej 671;631;2600;3230;725
Lyngmosevej 672;632;2601;3231;726
Lyngmosevej 673;633;2602;3232;727
Lyngmosevej 674;634;2603;3233;728
Lyngmosevej 675;635;2604;3234;729
Lyngmosevej 676;636;2605;3235;730
Lyngmosevej 677;637;2606;3236;731
Lyngmosevej 678;638;2607;3237;732
Lyngmosevej 679;639;2608;3238;733
Lyngmosevej 680;640;2609;3239;734
Lyngmosevej 681;641;2610;3240;735
Lyngmosevej 682;642;2611;3241;736
Lyngmosevej 683;643;2612;3242;737
Lyngmosevej 684;644;2613;3243;738
Lyngmosevej 685;645;2614;3244;739
Lyngmosevej 686;646;2615;3245;740
Lyngmosevej 687;647;2616;3246;741
Lyngmosevej 688;648;2617;3247;742
Lyngmosevej 689;649;2618;3248;743
Lyngmosevej 690;650;2619;3249;744
Lyngmosevej 691;651;2620;3250;745
Lyngmosevej 692;652;2621;3251;746
Lyngmosevej 693;653;2622;3252;747
Lyngmosevej 694;654;2623;3253;748
Lyngmosevej 695;655;2624;3254;749
Lyngmosevej 696;656;2625;3255;750
Lyngmosevej 697;657;2626;3256;751
Lyngmosevej 698;658;2627;3257;752
Lyngmosevej 699;659;2628;3258;753
Lyngmosevej 700;660;2629;3259;754
Lyngmosevej 701;661;2630;3260;755
Lyngmosevej 702;662;2631;3261;756
Lyngmosevej 703;663;2632;3262;757
Lyngmosevej 704;664;2633;3263;758
